label	x	y	z	classes	class_prob	sphere_scale	sphere_rotation	r	g	b
1	2272.3309624804156	-1810.9176154712782	-63.37832689846473	[17, 17, 17]	[0.9651327791386975, 0.01799016441234252, 0.016773065661665712]	[28.511789440520793, 26.264880800603784, 25.2124621178908]	[-0.11098321011220165, -0.21211068183587992, 1.2504217529852084]	255	255	255
9	2338.094878288832	-1739.4732682660197	-61.89538753406961	[17, 17, 17, 11, 17, 20, 17]	[0.8617024488835708, 0.10604515024031035, 0.005737621059636694, 0.0016458668539048402, 0.0021274481014455357, 0.016488588276445414, 0.004808843783086679]	[31.100308574716554, 26.786457765010006, 25.375205735816117]	[-0.07140962498711191, 0.049216504573033185, -0.862011045397659]	255	255	255
13	2984.190224128272	-1707.651910909367	-54.92199606098008	[17, 17, 17, 17]	[0.799284271439622, 0.0018361826268794693, 0.10650576112805574, 0.09237328949922859]	[28.041126178234975, 24.81154941045717, 29.536991876633493]	[1.5707963267948966, 0.0, -0.12635702392284134]	255	255	255
23	2783.1356954597136	-1622.527213382632	-56.43486258804164	[17, 17, 17, 17]	[0.7785657652536366, 0.002730199724513174, 0.10108323150082991, 0.1174032189399674]	[25.18957180340717, 28.684621144600996, 26.802510273897784]	[0.0, 1.5707963267948966, 0.0]	255	255	255
24	3388.5861396246296	-1623.4236382734034	-57.00593516655463	[17, 17, 17]	[0.5527831683012111, 0.2582301145466959, 0.1886282593674745]	[24.942128638302307, 26.057197483966952, 27.718104556938115]	[-1.570887968531355, -0.0014105689679747289, 1.7391406265825515]	255	255	255
30	2866.063897480982	-1550.6895284496477	-52.62984325076989	[17, 17, 17]	[0.9470530983744461, 0.04745881212530949, 0.005207534351778894]	[27.4331876871303, 26.154950917710593, 26.505021983809186]	[0.0, 0.0, -0.08707671930228861]	255	255	255
33	3806.026244438181	-1540.1323828070413	-47.20178109930488	[17, 17, 17, 17, 17, 17, 26]	[0.7831899162589132, 0.18186961084359368, 0.019628852344389793, 0.003767258510076487, 0.001634447842464058, 0.007702213905383496, 0.0013571767047822082]	[26.55725106405245, 26.97280829320493, 28.45880656994676]	[1.5707963267948966, 0.0, -2.4396881815098865]	255	255	255
34	3878.520914389775	-1536.7903108229712	-49.962660068873845	[17, 17, 17]	[0.5169116201586714, 0.2820701838728717, 0.20052056444716795]	[28.957997544626725, 24.503381608059115, 33.284513824885956]	[1.5707963267948966, 0.0, -0.3676894197161473]	255	255	255
36	2988.2366997988433	-1535.0642419816859	-62.33706329605654	[17, 17, 17]	[0.8504094116940054, 0.09026089972516156, 0.05927978111534563]	[24.58154866488271, 26.357297649294207, 27.429204595772294]	[-1.6747777497537575, -0.015061556193416958, 1.6645991263057893]	255	255	255
37	2243.8325232033617	-1520.1001907228451	-48.913089789445245	[17, 17, 17, 17]	[0.4921368337646428, 0.0013069803908243574, 0.4253824382326113, 0.0811674852595343]	[29.59113142069365, 25.13186210150006, 26.13406186324762]	[1.5707963267948966, 0.0, -0.2756613058260382]	255	255	255
39	2194.8589858176742	-1530.167380116599	-58.42981770870076	[17, 17, 17]	[0.8932569953986319, 0.073567733404031, 0.03247169009966644]	[28.95917725375958, 26.185863153948475, 30.834344957410195]	[1.5707963267948966, 0.0, -0.0373604500319678]	255	255	255
